Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,67,6929,5736,3587,609,975,33,218,1229,18,80
C:\work\HotPursuitGame\CarGame,67,6929,5736,3587,609,975,33,218,1229,18,80
C:\work\HotPursuitGame\CarGame\CarGame,40,4229,3584,2418,364,584,14,61,508,0,0
C:\work\HotPursuitGame\CarGame\CarGame\AI,2,34,27,22,0,7,0,0,0,0,0
C:\work\HotPursuitGame\CarGame\CarGame\Core,13,1097,936,596,134,148,3,13,145,0,0
C:\work\HotPursuitGame\CarGame\CarGame\Resources,1,42,42,2,0,0,0,0,0,0,0
C:\work\HotPursuitGame\CarGame\CarGame\UI,19,2627,2225,1585,194,357,10,45,353,0,0
C:\work\HotPursuitGame\CarGame\Race,13,1595,1230,753,160,241,14,124,566,4,45
C:\work\HotPursuitGame\CarGame\Strategy,14,1105,922,416,85,150,5,33,155,14,35
C:\work\HotPursuitGame\CarGame\Strategy\AStar,2,375,356,95,0,12,0,7,46,0,0
